mse,mape,smape
0.06453461199998856,95.91015625,161.90737915039062
0.06693528592586517,597.751953125,200.0
0.026732292026281357,79.39303588867188,132.95738220214844
0.002650210401043296,44.56559371948242,58.00802230834961
0.006174871232360601,101.7764892578125,189.33604431152344
8.980458369478583e-05,12.880102157592773,12.705061912536621
0.0008761613280512393,46.648765563964844,65.51256561279297
0.0006313581252470613,136.84814453125,81.17829132080078
0.0037450825329869986,290.3474426269531,118.30741119384766
0.004055316094309092,109.63138580322266,200.0
